127.0.0.1 - - [25/Feb/2014:10:14:05 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [25/Feb/2014:10:15:12 +0900] "GET /HTML/ch02/02.html HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [25/Feb/2014:10:15:12 +0900] "GET /HTML/ch02/WebContent/ch02/Penguins.jpg HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [25/Feb/2014:10:15:35 +0900] "GET /HTML/ch02/02.html HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [25/Feb/2014:10:15:35 +0900] "GET /HTML/ch02/Penguins.jpg HTTP/1.1" 200 777835
0:0:0:0:0:0:0:1 - - [25/Feb/2014:10:15:55 +0900] "GET /HTML/ch02/02.html HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [25/Feb/2014:10:15:55 +0900] "GET /HTML/ch02/WebContent/ch02/Penguins.jpg HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [25/Feb/2014:10:16:23 +0900] "GET /HTML/ch02/02.html HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [25/Feb/2014:10:16:23 +0900] "GET /HTML/ch02/Penguins.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:10:16:56 +0900] "GET /HTML/ch02/02.html HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [25/Feb/2014:10:16:56 +0900] "GET /HTML/ch02/Penguins.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:10:20:25 +0900] "GET /HTML/ch02/03.html HTTP/1.1" 200 1279
0:0:0:0:0:0:0:1 - - [25/Feb/2014:10:21:25 +0900] "GET /HTML/ch02/03.html HTTP/1.1" 200 2320
0:0:0:0:0:0:0:1 - - [25/Feb/2014:10:21:25 +0900] "GET /HTML/ch02/Penguins.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:10:22:04 +0900] "GET /HTML/ch02/03.html HTTP/1.1" 200 3374
0:0:0:0:0:0:0:1 - - [25/Feb/2014:10:22:05 +0900] "GET /HTML/ch02/Penguins.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:10:22:46 +0900] "GET /HTML/ch02/03.html HTTP/1.1" 200 4428
0:0:0:0:0:0:0:1 - - [25/Feb/2014:10:22:46 +0900] "GET /HTML/ch02/Penguins.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:10:23:14 +0900] "GET /HTML/ch02/03.html HTTP/1.1" 200 5492
0:0:0:0:0:0:0:1 - - [25/Feb/2014:10:23:14 +0900] "GET /HTML/ch02/Penguins.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:10:24:36 +0900] "GET /HTML/ch02/03.html HTTP/1.1" 200 6559
0:0:0:0:0:0:0:1 - - [25/Feb/2014:10:24:36 +0900] "GET /HTML/ch02/Penguins.jpg HTTP/1.1" 304 -
